物品,等级
白绢索带,1
布袍,1
护命神符,1
护身匕首,1
化毒散,1
金创药,1
雷火弹,1
琉璃法珠,1
辟邪玉佩,1
铁枪,1
通脉丸,1
长剑,1
白绢舞袖,2
百草沁香,2
地返遁符,2
钢战戟,2
古铜怀刀,2
厚织长衣,2
琥珀凝晶,2
龙涎香囊,2
绮罗天香,2
青钢剑,2
轻绸法袍,2
清神净玉,2
软革里衣,2
素绸灵索,2
紫金镖,2
冰蟾砂,3
沉碧剑,3
大补丸,3
返气丸,3
封辟之印,3
鬼魅玄香,3
黑缎笼衫,3
黑心鬼岩,3
黄缠明锦,3
精钢短剑,3
琅环玉璧,3
敛炙燧石,3
两仪玄石,3
凛水寒晶,3
绿松石髓,3
千光净玉,3
水晶珠链,3
铜钉皮铠,3
仙符绣袍,3
玄鸩骨末,3
血纹琼玉,3
牙雕勾剑,3
羊皮长衫,3
硬皮胸甲,3
镇辟玄香,3
钟乳凝晶,3
朱蕊晶花,3
朱缨枪,3
紫琰煌石,3
返命神水,4
飞虹剑,4
封凛冰露,4
钢衬武衣,4
黑玉短刀,4
黑玉蛇戒,4
轰雷符,4
火纹珪玉,4
火纹金钗,4
金缎铁袍,4
金丝甲,4
琉璃星簪,4
龙蟠雕玉,4
青铜战甲,4
铁骑枪,4
镶蛇银佩,4
啸风枪,4
玄经绣带,4
血仙邪酿,4
妖磷石,4
银华月缎,4
战士之石,4
召炎符,4
朱绸法衣,4
朱纶祭剑,4
缀玉华装,4
紫金织冠,4
紫绢金索,4
薄钢环甲,5
冰蚕玉带,5
冰雾寒玉,5
风行符,5
鬼斩刃,5
黑玉短戈,5
九花玉露,5
九龙玉佩,5
聚元散,5
炼法黑鳞,5
烈法符,5
灵剑朱雀,5
龙骨项链,5
胧影织衣,5
明光神铠,5
披甲符,5
辟邪玉剑,5
破金符,5
破魔朱绫,5
祛魔护印,5
神隐披风,5
蚀血神丹,5
水灵天珠,5
水灵珠花,5
锁子甲,5
舞风霓裳,5
银狐披肩,5
朱雀羽巾,5
朱焰妖瞳,5
紫金短剑,5
紫筱净玉,5
昂昴角簪,6
冰凛银镯,6
辰星珑坠,6
地魄玄石,6
翡翠短刀,6
封魂鬼刃,6
封魔神水,6
封豨牙悬,6
凤凰织锦,6
缚咒禁石,6
古璧玉甲,6
鬼魄碧晶,6
化渊曲玉,6
荒剑化魄,6
火浣银纱,6
雷荧剑,6
冷月银枪,6
凝玉纱索,6
蟠龙玉带,6
三魄烈丹,6
三索蛇剑,6
神乌饰坠,6
天瑞珠索,6
五尊神令,6
雾幻云袍,6
西方神徽,6
玄魔法袍,6
玄铁剑,6
玄铁重甲,6
玄乌羽衣,6
玄乌玉雕,6
银环软甲,6
愈神幻雾,6
紫电金戟,6
八荒灵石,7
碧吻蛇矛,7
冰幻神石,7
冰魄云缈,7
赤炼火铜,7
大还丹,7
翡翠碧砂,7
翡翠髑髅,7
封雷净玉,7
封仪祭剑,7
缚魂黑索,7
缚灵咒索,7
鬼烈枪,7
鬼躯化膏,7
红莲劫焰,7
火铜轻甲,7
迦叶神药,7
九幽化玉,7
军神刻符,7
雷绛纹帛,7
雷荧魄玉,7
冷华幽镜,7
离火神珠,7
龙王戟,7
珑华千纱,7
冥契妖甲,7
辟法玄胄,7
辟邪紫金,7
如意珠翠,7
十圣金丹,7
太初华晶,7
替身纸人,7
天罡令符,7
天狼血眼,7
天穹剑印,7
乌光玄铁,7
雪羽披风,7
血髓剑,7
血妖皿,7
阴阳幻刃,7
幽旛魂锦,7
幽煌罗剑,7
玉女云袖,7
紫金战铠,7
紫纱天衣,7
紫微仙衣,7
炽凰红纫,8
凤翼彩兜,8
化袅凝晶,8
化蕴神铠,8
幻月神珠,8
黄泉祭衣,8
计都荒寰,8
九炼邪刃,8
钧天珑玉,8
厉魄鬼酿,8
烈光戟,8
烈阳神珠,8
六芒星印,8
龙鳞金胄,8
破军王戟,8
七色彩绢,8
神临金丹,8
蚀魄幽铠,8
邪煌霸剑,8
玄罗仙袖,8
妖梦魅石,8
摇光化玉,8
瑶池舞衣,8
玉玑灵镯,8
珠璃莹甲,8
